variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
final_noempi.dta,Restricted source Stata dataset,Primary patient-level analysis dataset without direct EMPI identifier,Expected local input for preprocessing and older combined workflows,file,path,N/A,N/A,N/A,data/private,None,must exist locally for preprocessing,"Restricted clinical imaging/EHR data; not committed",complete
cleaned_noempi.dta,Restricted cleaned Stata dataset,Cleaned patient-level analysis dataset used by main analysis scripts,Expected local input for age-metric and body-size workflows,file,path,N/A,N/A,N/A,data/private or generated outputs/Data_preprocess.do,Created by cleaning and merge steps,must exist locally for analysis,"Still patient-level restricted data",complete
ACCT EMPI BMI Weight Height.csv,Restricted supplemental body-size file,Local supplemental file containing account/person keys and updated age BMI height weight fields,Used by Data_preprocess.do for BMI/body-size reconciliation,file,path,N/A,N/A,N/A,data/private,Imported and merged by account key,must exist locally for preprocessing,"Contains restricted linkage fields and must not be committed",complete
acct_no,Account number,Clinical account number or encounter account identifier,Used for merge/QC context,string,N/A,N/A,N/A,missing allowed,restricted source data,None,restricted identifier handling required,"Potential indirect identifier; should not appear in public outputs",needs_review
acct_key,Account key,Numeric or string key used for one-to-one merge with supplemental body-size CSV,Merge key,string,N/A,N/A,N/A,missing not expected,restricted source data,None,should be unique for merge,"Potential indirect identifier; not public",needs_review
empi,Enterprise master patient index,Direct patient identifier present in supplemental CSV before restricted local handling,Used only in private merge/QC workflow,string,N/A,N/A,N/A,not public,ACCT EMPI BMI Weight Height.csv,Dropped or kept only in private QC outputs,do not commit,"Name indicates PHI-sensitive field",needs_review
person_mk,Person master key,Internal person key from supplemental body-size source,Used only in private merge/QC workflow,string,N/A,N/A,N/A,not public,ACCT EMPI BMI Weight Height.csv,Dropped or kept only in private QC outputs,do not commit,"Potential indirect identifier",needs_review
age,Age,Age at CTPA or index encounter,Primary demographic covariate,numeric,years,nonnegative,N/A,missing possible,restricted source data,Cleaned from source and supplemental CSV,0-120 expected,"Exact index definition inferred from scripts",needs_review
age_old,Original age,Age from original Stata source before supplemental reconciliation,Used for QC,numeric,years,nonnegative,N/A,missing possible,final_noempi.dta,Renamed from age before merge,0-120 expected,"Private QC variable",needs_review
age_csv,Supplemental age,Age imported from supplemental body-size CSV,Used for age mismatch QC,numeric,years,nonnegative,N/A,missing possible,ACCT EMPI BMI Weight Height.csv,Destringed during import,0-120 expected,"Private QC variable",needs_review
age_diff,Age difference,Difference between supplemental and original age values,QC metric,numeric,years,N/A,N/A,missing if one source missing,Data_preprocess.do,age_csv - age_old,reasonable absolute value should be small,"Review thresholds before reuse",needs_review
male,Male sex,Sex indicator used for PA diameter sex normalization and modeling,Binary demographic covariate,integer,N/A,0;1,0 = Female | 1 = Male,missing possible,restricted source data,Labeled in preprocessing,must be 0 or 1,"Sex/gender source definition inferred",needs_review
